destination_port,flow_duration,total_fwd_packets,total_backward_packets,flow_bytes_s,flow_packets_s,fwd_packet_length_mean,packet_length_std,syn_flag_count,ack_flag_count,label,true_label
445,82186.21530206008,14,10,44416.87119521507,165.29629718704103,206.9812368454337,159.40114045632123,1,1,0,Normal
8443,15741.34062711713,20,8,55277.25005888134,194.1663219122176,302.25335694676363,56.16520175417741,1,0,0,Normal
123,249990.9789142123,18,14,43086.213472361975,128.11270242895992,269.71016951667565,151.7214533439398,1,1,0,Normal
80,170602.1376040866,10,15,44213.825891295215,133.11444563003104,274.5775581328935,223.9793332228948,1,1,0,Normal
53,344360.8124085625,15,14,19927.011306576154,166.55887611259953,318.2166566557771,247.3221147286399,1,1,0,Normal
443,45645.92920260305,91,2,435021.91240656516,2768.4058364409784,69.14107063701434,39.72039506433504,1,0,1,DoS/DDoS
8443,199823.76175764066,11,14,61386.72444518613,118.14013675493769,307.0032802711088,153.46894518287425,1,1,0,Normal
8080,88537.60445609127,117,1,646109.2142052016,2457.3119396732263,71.00899546768943,21.787675491168944,1,0,1,DoS/DDoS
123,231242.0419874545,16,16,60253.68721148169,134.9870672972658,253.48100590213934,235.30378556576903,1,1,0,Normal
80,562660.4117021742,15,7,60184.691041165424,105.05369670607263,342.2873294365659,164.46579528346024,1,1,0,Normal
80,17191.870734655782,103,2,523433.29111558903,2953.0874788519964,48.62173532050414,15.512865013350957,1,0,1,DoS/DDoS
22,501344.09909877577,13,16,44187.535054749525,175.98279512841228,317.71098575621465,193.65285847638557,1,1,0,Normal
6077,272.3801665391956,1,0,608.5308427842398,524.5203949925761,36.97568947571295,12.612892207609729,1,0,2,Port Scan
80,478807.55764132267,17,25,69161.4138281591,94.43460327485091,550.237913370448,294.4236575147518,1,1,4,Web Attack
8080,291322.2613999,7,21,54884.908747152804,67.27796216691829,265.6845328799723,166.26120534675673,1,1,0,Normal
22,335111.72127924056,17,12,32652.134939567557,92.14738819342483,272.47249836737876,123.1260866230481,1,1,0,Normal
80,819940.0215963125,10,17,37697.208921583835,128.14667099262024,259.65151993554645,170.08551021585177,1,1,0,Normal
123,660914.6442672348,15,15,53110.35063363793,164.82483004521228,285.5056867520778,208.60817188153217,1,1,0,Normal
1613,751.4829006300204,2,0,1136.0345012546538,366.0032554938725,51.01663338545296,10.145276437105135,1,0,2,Port Scan
123,614432.673725278,9,21,28796.61721265837,136.21200744214084,278.42431159988047,88.73878239430655,1,1,0,Normal
8443,430979.0192135786,10,13,31437.4840574873,106.17546733060334,315.0312903472934,192.91049688289743,1,0,0,Normal
80,22314.95582010747,101,1,462953.0516942858,2960.309287678247,78.06981186730845,25.36267179196719,1,0,1,DoS/DDoS
23204,363.37743411038207,1,0,790.6765009454639,544.6873568361831,42.51005124382315,12.909577622922614,1,0,2,Port Scan
29596,469.91757868643407,2,0,752.2683592436816,402.2404980777436,50.208645428152266,15.307876630742452,1,0,2,Port Scan
443,31379.57721380335,13,21,44143.289165296344,92.48390324220789,307.12110548937324,129.20116600296527,1,1,0,Normal
8443,80080.19439253898,16,13,67888.52565517127,170.96808099888688,310.8651999343479,212.3569262459642,1,1,0,Normal
8080,764013.8077745166,11,8,36244.0750950155,38.35673856291423,347.0716180122982,190.19388924045975,1,0,0,Normal
8443,567549.4098880824,19,13,60825.02631209004,108.6759950442145,298.02923128256964,90.94467567002319,1,1,0,Normal
80,389039.7120541208,11,13,39108.5779302852,195.1956206942531,269.1309429500199,152.6463335220356,1,1,0,Normal
53,191386.72101630582,12,18,54447.98673685806,50.69576446197067,373.03892795519437,279.9593867146207,1,1,0,Normal
443,161004.31480306198,13,18,48647.18834050801,52.70692281923003,297.67223400076665,162.579928987825,1,1,0,Normal
123,969937.5606184802,15,16,20936.15562495629,138.11385083303003,264.69918912017226,110.16292707977657,1,1,0,Normal
5555,112002.60098158864,30,36,19644.71503992035,61.30100849217985,227.75972532715224,83.20416154355696,1,1,5,Botnet
22,326215.8787510027,9,16,31869.097786107755,107.5995845543987,160.17589421902625,211.61469656235448,1,1,0,Normal
443,153109.49533155747,9,14,52511.515785373966,129.3626396422272,204.60380774516472,161.7294890978826,1,1,0,Normal
123,62956.40559900909,12,15,44652.63222226545,144.5676862496794,308.61175509292343,190.12966466283353,1,1,0,Normal
123,362927.79501434526,19,14,45867.61093425655,152.83889397474206,303.20077852797994,203.17590312108896,1,1,0,Normal
22,144513.63532256917,40,33,19745.372483286697,81.96410338444015,181.57716880099437,107.66552744267507,1,1,3,Brute Force
3389,160323.13407417305,33,22,12335.820166372054,29.799101207709427,180.07398450503123,81.08721711093331,1,1,3,Brute Force
52704,526.8922003049328,1,0,1025.2020623673438,252.9444440677473,51.985059042920476,12.776568508997997,1,0,2,Port Scan
80,50809.195279663254,17,20,54682.93806482318,80.33576398171408,273.58152518755105,235.06621229242276,1,1,0,Normal
53,1235000.666361473,17,22,34090.985935515535,124.96948728982318,266.2364726700508,245.04311589636882,1,1,0,Normal
80,256489.45564021094,12,7,50593.48771218533,127.17303791245654,315.2163916011902,236.06696236055174,1,1,0,Normal
61564,995.1431085866102,2,0,609.6316808171385,453.1519930390876,44.120988548469,13.030079402464615,1,0,2,Port Scan
3389,345476.77569499053,28,21,15126.761864356506,74.71372277421384,119.15541365102918,116.06226725578723,1,1,3,Brute Force
53,71442.35079673311,14,20,56209.887186413966,141.30120676842722,250.47177934595337,120.18251903645391,1,1,0,Normal
37047,732.823536202536,2,0,1041.907685605556,548.4930763336504,47.614544056896435,11.301773612112012,1,0,2,Port Scan
445,197807.66606481487,16,15,43785.494866298926,149.5919487984863,269.95105758572765,237.07751597836025,1,1,0,Normal
8080,18526.504887232804,100,0,511163.8923549483,3127.8851742595593,42.061283642106545,24.76163290610658,1,0,1,DoS/DDoS
443,10836.226456052587,115,1,432931.61442538537,2353.184083929678,83.72862451461805,29.905147698394458,1,0,1,DoS/DDoS
8443,75445.85636247577,10,17,37508.13628082042,130.78995749967677,281.7705154760837,126.893627799219,1,1,0,Normal
8080,42664.251962420596,9,14,21080.84345916547,111.13763968124982,278.0531503502645,149.15958313080483,1,1,0,Normal
8080,109082.90093612533,20,10,45088.20809903639,76.68637884526626,164.48426724475087,212.7205116668472,1,1,0,Normal
445,220897.7425087166,18,14,54939.203743302154,155.72591300347898,358.0841434184615,59.79607721623919,1,1,0,Normal
80,1157138.8816449773,12,13,35636.380153717146,145.60759294828495,304.1660975195856,211.04384624083352,1,1,0,Normal
8080,91580.33167358993,112,2,461523.902230519,2593.462407049577,89.92593092165824,36.87790750381359,1,0,1,DoS/DDoS
28542,436.39853711145344,1,0,783.3403725377763,362.295166597226,42.95145471453521,9.876444912256211,1,0,2,Port Scan
123,217958.45133617503,8,13,46479.23533058663,68.35310930589422,314.5473166381163,164.0882531217116,0,0,0,Normal
80,89109.49882599342,119,0,468423.3306000958,2445.1222041096244,53.58359269225685,19.53933330884678,1,0,1,DoS/DDoS
8000,48378.93452791781,39,29,34213.33659736434,60.6568874414841,203.46671562400172,115.14606160961472,1,1,5,Botnet
